JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3954 | VFE_final=795.6596 (IL_path=0.0782) | VFE_per_dof=0.3885 Delta_VFE_per_dof=+0.0143 | VFE_pred_term=0.1159 VFE_hidden_term=949.2825 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.24 | lambda_gate=0.000 (raw=0.511) | SG_objective=0.2793 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=720.8515 (per_unit 7.0396e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.51e-05 tol=5.00e-04 r=1.000 slope=-4.578e-05) | TrainAcc=0.875 TrainLoss=0.3471 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.849 TestLoss=0.4606
[Step    20] CE_loss=0.3954 | VFE_final=795.6596 (IL_path=0.0782) | VFE_per_dof=0.3885 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1159 VFE_hidden_term=949.2825 logdet_Pi_y_sum=3.24 logdet_Pi_x_sum=304.24 | lambda_gate=0.000 | SG_objective=0.2793 | SG_relMSE=0.9999 SG_cosine=0.022 mean_log_Pi_g=0.297 | PC_activity_obj=720.8515 (per_unit 7.0396e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.4606 test_acc=0.8489
[Step    40] CE_loss=0.3808 | VFE_final=679.0511 (IL_path=0.0666) | VFE_per_dof=0.3316 Delta_VFE_per_dof=-0.0168 | VFE_pred_term=0.1169 VFE_hidden_term=826.1632 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.83 | lambda_gate=0.000 (raw=0.520) | SG_objective=0.2085 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=655.9382 (per_unit 6.4056e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.58e-05 tol=5.00e-04 r=1.000 slope=-3.942e-05) | TrainAcc=0.898 TrainLoss=0.3225 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.895 TestLoss=0.3458
[Step    40] CE_loss=0.3808 | VFE_final=679.0511 (IL_path=0.0666) | VFE_per_dof=0.3316 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1169 VFE_hidden_term=826.1632 logdet_Pi_y_sum=3.63 logdet_Pi_x_sum=290.83 | lambda_gate=0.000 | SG_objective=0.2085 | SG_relMSE=0.9996 SG_cosine=0.040 mean_log_Pi_g=0.284 | PC_activity_obj=655.9382 (per_unit 6.4056e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3458 test_acc=0.8947
[Step    60] CE_loss=0.3931 | VFE_final=566.6089 (IL_path=0.0560) | VFE_per_dof=0.2767 Delta_VFE_per_dof=-0.0137 | VFE_pred_term=0.1144 VFE_hidden_term=707.3648 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.70 | lambda_gate=0.000 (raw=0.523) | SG_objective=0.1598 | SG_relMSE=0.9997 SG_cosine=0.047 mean_log_Pi_g=0.271 | PC_activity_obj=583.1467 (per_unit 5.6948e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=8.68e-05 tol=5.00e-04 r=1.000 slope=-1.780e-05) | TrainAcc=0.898 TrainLoss=0.3541 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.910 TestLoss=0.3043
[Step    60] CE_loss=0.3931 | VFE_final=566.6089 (IL_path=0.0560) | VFE_per_dof=0.2767 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1144 VFE_hidden_term=707.3648 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=277.70 | lambda_gate=0.000 | SG_objective=0.1598 | SG_relMSE=0.9997 SG_cosine=0.047 mean_log_Pi_g=0.271 | PC_activity_obj=583.1467 (per_unit 5.6948e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.3043 test_acc=0.9099
[Step    80] CE_loss=0.2260 | VFE_final=466.1217 (IL_path=0.0471) | VFE_per_dof=0.2276 Delta_VFE_per_dof=+0.0091 | VFE_pred_term=0.0638 VFE_hidden_term=604.1161 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=271.59 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1274 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.265 | PC_activity_obj=514.0078 (per_unit 5.0196e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.53e-05 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.961 TrainLoss=0.1940 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.929 TestLoss=0.2381
[Step    80] CE_loss=0.2260 | VFE_final=466.1217 (IL_path=0.0471) | VFE_per_dof=0.2276 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0638 VFE_hidden_term=604.1161 logdet_Pi_y_sum=4.52 logdet_Pi_x_sum=271.59 | lambda_gate=0.000 | SG_objective=0.1274 | SG_relMSE=0.9999 SG_cosine=0.016 mean_log_Pi_g=0.265 | PC_activity_obj=514.0078 (per_unit 5.0196e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2381 test_acc=0.9295
[Step   100] CE_loss=0.2140 | VFE_final=481.5920 (IL_path=0.0481) | VFE_per_dof=0.2352 Delta_VFE_per_dof=+0.0109 | VFE_pred_term=0.0712 VFE_hidden_term=618.8839 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.67 | lambda_gate=0.000 (raw=0.504) | SG_objective=0.1185 | SG_relMSE=1.0000 SG_cosine=0.007 mean_log_Pi_g=0.263 | PC_activity_obj=533.6633 (per_unit 5.2116e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.96e-05 tol=5.00e-04 r=1.000 slope=-3.815e-05) | TrainAcc=0.953 TrainLoss=0.1811 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.936 TestLoss=0.2120
[Step   100] CE_loss=0.2140 | VFE_final=481.5920 (IL_path=0.0481) | VFE_per_dof=0.2352 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0712 VFE_hidden_term=618.8839 logdet_Pi_y_sum=5.06 logdet_Pi_x_sum=269.67 | lambda_gate=0.000 | SG_objective=0.1185 | SG_relMSE=1.0000 SG_cosine=0.007 mean_log_Pi_g=0.263 | PC_activity_obj=533.6633 (per_unit 5.2116e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) (total_proposals=3) | test_loss=0.2120 test_acc=0.9364
[Step   120] CE_loss=0.1649 | VFE_final=490.7199 (IL_path=0.0485) | VFE_per_dof=0.2396 Delta_VFE_per_dof=+0.0028 | VFE_pred_term=0.0502 VFE_hidden_term=625.1178 logdet_Pi_y_sum=5.57 logdet_Pi_x_sum=263.33 | lambda_gate=0.000 (raw=0.508) | SG_objective=0.1007 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.257 | PC_activity_obj=543.1201 (per_unit 5.3039e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=6.10e-05 tol=5.00e-04 r=1.000 slope=-1.907e-05) | TrainAcc=0.969 TrainLoss=0.1297 (total_proposals=3, oracle_model=3/3, oracle_lp=3/3, metrics=3/3) | TestAcc=0.935 TestLoss=0.2155
