JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.3932 | VFE_final=799.2190 (IL_path=0.1541) | VFE_per_dof=0.3902 Delta_VFE_per_dof=+0.0146 | VFE_pred_term=0.1159 VFE_hidden_term=956.6626 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.2075 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=717.7572 (per_unit 7.0093e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.65e-04 tol=5.00e-04 r=1.000 slope=-5.976e-05) | TrainAcc=0.883 TrainLoss=0.3465 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.847 TestLoss=0.4622
[Step    20] CE_loss=0.3932 | VFE_final=799.2190 (IL_path=0.1541) | VFE_per_dof=0.3902 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1159 VFE_hidden_term=956.6626 logdet_Pi_y_sum=3.25 logdet_Pi_x_sum=311.87 | lambda_gate=0.000 | SG_objective=0.2075 | SG_relMSE=1.0000 SG_cosine=-0.003 mean_log_Pi_g=0.305 | PC_activity_obj=717.7572 (per_unit 7.0093e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4622 test_acc=0.8474
[Step    40] CE_loss=0.3768 | VFE_final=684.4031 (IL_path=0.1321) | VFE_per_dof=0.3342 Delta_VFE_per_dof=-0.0172 | VFE_pred_term=0.1148 VFE_hidden_term=836.6240 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.03 | lambda_gate=0.000 (raw=0.512) | SG_objective=0.2557 | SG_relMSE=0.9998 SG_cosine=0.025 mean_log_Pi_g=0.294 | PC_activity_obj=654.4615 (per_unit 6.3912e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.65e-04 tol=5.00e-04 r=1.000 slope=-4.705e-05) | TrainAcc=0.891 TrainLoss=0.3172 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.895 TestLoss=0.3452
[Step    40] CE_loss=0.3768 | VFE_final=684.4031 (IL_path=0.1321) | VFE_per_dof=0.3342 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1148 VFE_hidden_term=836.6240 logdet_Pi_y_sum=3.64 logdet_Pi_x_sum=301.03 | lambda_gate=0.000 | SG_objective=0.2557 | SG_relMSE=0.9998 SG_cosine=0.025 mean_log_Pi_g=0.294 | PC_activity_obj=654.4615 (per_unit 6.3912e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3452 test_acc=0.8953
[Step    60] CE_loss=0.3927 | VFE_final=566.7644 (IL_path=0.1104) | VFE_per_dof=0.2767 Delta_VFE_per_dof=-0.0139 | VFE_pred_term=0.1147 VFE_hidden_term=712.2877 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.24 | lambda_gate=0.000 (raw=0.514) | SG_objective=0.1900 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=579.3118 (per_unit 5.6573e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.69e-04 tol=5.00e-04 r=1.000 slope=-5.468e-05) | TrainAcc=0.898 TrainLoss=0.3550 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.908 TestLoss=0.3070
[Step    60] CE_loss=0.3927 | VFE_final=566.7644 (IL_path=0.1104) | VFE_per_dof=0.2767 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1147 VFE_hidden_term=712.2877 logdet_Pi_y_sum=4.04 logdet_Pi_x_sum=287.24 | lambda_gate=0.000 | SG_objective=0.1900 | SG_relMSE=0.9998 SG_cosine=0.028 mean_log_Pi_g=0.281 | PC_activity_obj=579.3118 (per_unit 5.6573e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3070 test_acc=0.9085
[Step    80] CE_loss=0.2254 | VFE_final=465.7417 (IL_path=0.0929) | VFE_per_dof=0.2274 Delta_VFE_per_dof=+0.0090 | VFE_pred_term=0.0629 VFE_hidden_term=607.9955 logdet_Pi_y_sum=4.49 logdet_Pi_x_sum=280.14 | lambda_gate=0.000 (raw=0.495) | SG_objective=0.1312 | SG_relMSE=1.0000 SG_cosine=-0.009 mean_log_Pi_g=0.274 | PC_activity_obj=509.9696 (per_unit 4.9802e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.26e-04 tol=5.00e-04 r=1.000 slope=-5.849e-05) | TrainAcc=0.953 TrainLoss=0.1931 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.930 TestLoss=0.2367
[Step    80] CE_loss=0.2254 | VFE_final=465.7417 (IL_path=0.0929) | VFE_per_dof=0.2274 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0629 VFE_hidden_term=607.9955 logdet_Pi_y_sum=4.49 logdet_Pi_x_sum=280.14 | lambda_gate=0.000 | SG_objective=0.1312 | SG_relMSE=1.0000 SG_cosine=-0.009 mean_log_Pi_g=0.274 | PC_activity_obj=509.9696 (per_unit 4.9802e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2367 test_acc=0.9300
[Step   100] CE_loss=0.2158 | VFE_final=483.8745 (IL_path=0.0950) | VFE_per_dof=0.2363 Delta_VFE_per_dof=+0.0105 | VFE_pred_term=0.0716 VFE_hidden_term=624.9721 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=277.33 | lambda_gate=0.000 (raw=0.499) | SG_objective=0.1218 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.271 | PC_activity_obj=531.8245 (per_unit 5.1936e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.36e-04 tol=5.00e-04 r=1.000 slope=-5.213e-05) | TrainAcc=0.945 TrainLoss=0.1821 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.935 TestLoss=0.2127
[Step   100] CE_loss=0.2158 | VFE_final=483.8745 (IL_path=0.0950) | VFE_per_dof=0.2363 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0716 VFE_hidden_term=624.9721 logdet_Pi_y_sum=5.01 logdet_Pi_x_sum=277.33 | lambda_gate=0.000 | SG_objective=0.1218 | SG_relMSE=1.0000 SG_cosine=-0.002 mean_log_Pi_g=0.271 | PC_activity_obj=531.8245 (per_unit 5.1936e-01) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2127 test_acc=0.9355
[Step   120] CE_loss=0.1604 | VFE_final=493.9559 (IL_path=0.0958) | VFE_per_dof=0.2412 Delta_VFE_per_dof=+0.0030 | VFE_pred_term=0.0492 VFE_hidden_term=631.9323 logdet_Pi_y_sum=5.52 logdet_Pi_x_sum=270.53 | lambda_gate=0.000 (raw=0.509) | SG_objective=0.1206 | SG_relMSE=0.9999 SG_cosine=0.017 mean_log_Pi_g=0.264 | PC_activity_obj=542.5530 (per_unit 5.2984e-01) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.18e-04 tol=5.00e-04 r=1.000 slope=-5.341e-05) | TrainAcc=0.969 TrainLoss=0.1264 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.935 TestLoss=0.2143
