JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.7308 | VFE_final=-55.6630 (IL_path=0.0454) | VFE_per_dof=-0.0272 Delta_VFE_per_dof=-0.0031 | VFE_pred_term=0.2135 VFE_hidden_term=111.2875 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=331.06 | lambda_gate=0.318 (raw=0.318) | SG_objective=0.0236 | SG_relMSE=1.0038 SG_cosine=-0.365 mean_log_Pi_g=0.323 | PC_activity_obj=81.0468 (per_unit 7.9147e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.66e-04 tol=1.00e-04 r=1.000 slope=-4.432e-05) | TrainAcc=0.875 TrainLoss=0.6946 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.837 TestLoss=0.7372
[Step    20] CE_loss=0.7308 | VFE_final=-55.6630 (IL_path=0.0454) | VFE_per_dof=-0.0272 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2135 VFE_hidden_term=111.2875 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=331.06 | lambda_gate=0.318 | SG_objective=0.0236 | SG_relMSE=1.0038 SG_cosine=-0.365 mean_log_Pi_g=0.323 | PC_activity_obj=81.0468 (per_unit 7.9147e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.7372 test_acc=0.8371
[Step    40] CE_loss=0.4916 | VFE_final=-92.5972 (IL_path=0.0400) | VFE_per_dof=-0.0452 Delta_VFE_per_dof=-0.0098 | VFE_pred_term=0.1501 VFE_hidden_term=97.5662 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.83 | lambda_gate=0.320 (raw=0.320) | SG_objective=0.0191 | SG_relMSE=1.0037 SG_cosine=-0.360 mean_log_Pi_g=0.368 | PC_activity_obj=70.1295 (per_unit 6.8486e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.55e-04 tol=1.00e-04 r=1.000 slope=-4.505e-05) | TrainAcc=0.906 TrainLoss=0.4695 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.898 TestLoss=0.4444
[Step    40] CE_loss=0.4916 | VFE_final=-92.5972 (IL_path=0.0400) | VFE_per_dof=-0.0452 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1501 VFE_hidden_term=97.5662 logdet_Pi_y_sum=3.80 logdet_Pi_x_sum=376.83 | lambda_gate=0.320 | SG_objective=0.0191 | SG_relMSE=1.0037 SG_cosine=-0.360 mean_log_Pi_g=0.368 | PC_activity_obj=70.1295 (per_unit 6.8486e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.4444 test_acc=0.8977
[Step    60] CE_loss=0.4570 | VFE_final=-126.1012 (IL_path=0.0357) | VFE_per_dof=-0.0616 Delta_VFE_per_dof=-0.0082 | VFE_pred_term=0.1398 VFE_hidden_term=86.5289 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.22 | lambda_gate=0.395 (raw=0.395) | SG_objective=0.0139 | SG_relMSE=1.0022 SG_cosine=-0.210 mean_log_Pi_g=0.411 | PC_activity_obj=61.4604 (per_unit 6.0020e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.65e-04 tol=1.00e-04 r=1.000 slope=-5.595e-05) | TrainAcc=0.898 TrainLoss=0.4450 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.913 TestLoss=0.3787
[Step    60] CE_loss=0.4570 | VFE_final=-126.1012 (IL_path=0.0357) | VFE_per_dof=-0.0616 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1398 VFE_hidden_term=86.5289 logdet_Pi_y_sum=4.32 logdet_Pi_x_sum=421.22 | lambda_gate=0.395 | SG_objective=0.0139 | SG_relMSE=1.0022 SG_cosine=-0.210 mean_log_Pi_g=0.411 | PC_activity_obj=61.4604 (per_unit 6.0020e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3787 test_acc=0.9133
[Step    80] CE_loss=0.2883 | VFE_final=-149.0566 (IL_path=0.0361) | VFE_per_dof=-0.0728 Delta_VFE_per_dof=+0.0009 | VFE_pred_term=0.0887 VFE_hidden_term=86.6941 logdet_Pi_y_sum=4.84 logdet_Pi_x_sum=466.84 | lambda_gate=0.264 (raw=0.264) | SG_objective=0.0107 | SG_relMSE=1.0040 SG_cosine=-0.472 mean_log_Pi_g=0.456 | PC_activity_obj=60.4727 (per_unit 5.9055e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.35e-04 tol=1.00e-04 r=1.000 slope=-4.868e-05) | TrainAcc=0.938 TrainLoss=0.2745 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.924 TestLoss=0.3170
[Step    80] CE_loss=0.2883 | VFE_final=-149.0566 (IL_path=0.0361) | VFE_per_dof=-0.0728 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0887 VFE_hidden_term=86.6941 logdet_Pi_y_sum=4.84 logdet_Pi_x_sum=466.84 | lambda_gate=0.264 | SG_objective=0.0107 | SG_relMSE=1.0040 SG_cosine=-0.472 mean_log_Pi_g=0.456 | PC_activity_obj=60.4727 (per_unit 5.9055e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.3170 test_acc=0.9240
[Step   100] CE_loss=0.3455 | VFE_final=-167.4711 (IL_path=0.0384) | VFE_per_dof=-0.0818 Delta_VFE_per_dof=+0.0024 | VFE_pred_term=0.1176 VFE_hidden_term=91.0306 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.91 | lambda_gate=0.329 (raw=0.329) | SG_objective=0.0100 | SG_relMSE=1.0038 SG_cosine=-0.341 mean_log_Pi_g=0.500 | PC_activity_obj=61.6939 (per_unit 6.0248e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.64e-04 tol=1.00e-04 r=1.000 slope=-4.360e-05) | TrainAcc=0.914 TrainLoss=0.3222 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.925 TestLoss=0.2950
[Step   100] CE_loss=0.3455 | VFE_final=-167.4711 (IL_path=0.0384) | VFE_per_dof=-0.0818 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1176 VFE_hidden_term=91.0306 logdet_Pi_y_sum=5.33 logdet_Pi_x_sum=511.91 | lambda_gate=0.329 | SG_objective=0.0100 | SG_relMSE=1.0038 SG_cosine=-0.341 mean_log_Pi_g=0.500 | PC_activity_obj=61.6939 (per_unit 6.0248e-02) | PI_max_steps=8 | PC_steps=8 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) (total_proposals=8) | test_loss=0.2950 test_acc=0.9252
[Step   120] CE_loss=0.2790 | VFE_final=-201.6889 (IL_path=0.0340) | VFE_per_dof=-0.0985 Delta_VFE_per_dof=+0.0020 | VFE_pred_term=0.0887 VFE_hidden_term=79.4000 logdet_Pi_y_sum=5.80 logdet_Pi_x_sum=556.55 | lambda_gate=0.355 (raw=0.355) | SG_objective=0.0074 | SG_relMSE=1.0042 SG_cosine=-0.291 mean_log_Pi_g=0.544 | PC_activity_obj=51.9106 (per_unit 5.0694e-02) | PI_max_steps=8 | PI_est_total=8.0 PI_est_valid=1 (cap_hit=1 delta_last=1.50e-04 tol=1.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.961 TrainLoss=0.2470 (total_proposals=8, oracle_model=0/0, oracle_lp=0/0, metrics=8/8) | TestAcc=0.928 TestLoss=0.2966
