JAX backend     : gpu
JAX devices     : [CudaDevice(id=0)]
Selected DEVICE : cuda:0
Using batch size 128 with no accumulation. (auto-selected no accumulation to stay below ~35% of GPU memory)
Loading dataset...
Loading Complete
About to run first update_step…
First update_step done.
[Step    20] CE_loss=0.7706 | VFE_final=-66.7767 (IL_path=0.0117) | VFE_per_dof=-0.0326 Delta_VFE_per_dof=+0.0018 | VFE_pred_term=0.2258 VFE_hidden_term=100.6724 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.08 | lambda_gate=0.322 (raw=0.322) | SG_objective=0.0229 | SG_relMSE=1.0039 SG_cosine=-0.356 mean_log_Pi_g=0.324 | PC_activity_obj=73.1656 (per_unit 7.1451e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.71e-04 tol=2.00e-04 r=1.000 slope=-4.450e-05) | TrainAcc=0.844 TrainLoss=0.7416 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.867 TestLoss=0.7162
[Step    20] CE_loss=0.7706 | VFE_final=-66.7767 (IL_path=0.0117) | VFE_per_dof=-0.0326 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.2258 VFE_hidden_term=100.6724 logdet_Pi_y_sum=3.27 logdet_Pi_x_sum=332.08 | lambda_gate=0.322 | SG_objective=0.0229 | SG_relMSE=1.0039 SG_cosine=-0.356 mean_log_Pi_g=0.324 | PC_activity_obj=73.1656 (per_unit 7.1451e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.7162 test_acc=0.8669
[Step    40] CE_loss=0.4305 | VFE_final=-106.6233 (IL_path=0.0101) | VFE_per_dof=-0.0521 Delta_VFE_per_dof=-0.0059 | VFE_pred_term=0.1296 VFE_hidden_term=85.1745 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.04 | lambda_gate=0.235 (raw=0.235) | SG_objective=0.0178 | SG_relMSE=1.0043 SG_cosine=-0.530 mean_log_Pi_g=0.371 | PC_activity_obj=60.3139 (per_unit 5.8900e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.47e-04 tol=2.00e-04 r=1.000 slope=-5.722e-05) | TrainAcc=0.930 TrainLoss=0.4250 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.905 TestLoss=0.4519
[Step    40] CE_loss=0.4305 | VFE_final=-106.6233 (IL_path=0.0101) | VFE_per_dof=-0.0521 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1296 VFE_hidden_term=85.1745 logdet_Pi_y_sum=3.81 logdet_Pi_x_sum=380.04 | lambda_gate=0.235 | SG_objective=0.0178 | SG_relMSE=1.0043 SG_cosine=-0.530 mean_log_Pi_g=0.371 | PC_activity_obj=60.3139 (per_unit 5.8900e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.4519 test_acc=0.9048
[Step    60] CE_loss=0.3562 | VFE_final=-121.6351 (IL_path=0.0113) | VFE_per_dof=-0.0594 Delta_VFE_per_dof=+0.0004 | VFE_pred_term=0.1091 VFE_hidden_term=94.4762 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=428.10 | lambda_gate=0.365 (raw=0.365) | SG_objective=0.0125 | SG_relMSE=1.0024 SG_cosine=-0.271 mean_log_Pi_g=0.418 | PC_activity_obj=64.8511 (per_unit 6.3331e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.49e-04 tol=2.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.914 TrainLoss=0.3388 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.916 TestLoss=0.3515
[Step    60] CE_loss=0.3562 | VFE_final=-121.6351 (IL_path=0.0113) | VFE_per_dof=-0.0594 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1091 VFE_hidden_term=94.4762 logdet_Pi_y_sum=4.34 logdet_Pi_x_sum=428.10 | lambda_gate=0.365 | SG_objective=0.0125 | SG_relMSE=1.0024 SG_cosine=-0.271 mean_log_Pi_g=0.418 | PC_activity_obj=64.8511 (per_unit 6.3331e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.3515 test_acc=0.9160
[Step    80] CE_loss=0.2981 | VFE_final=-155.4173 (IL_path=0.0103) | VFE_per_dof=-0.0759 Delta_VFE_per_dof=-0.0016 | VFE_pred_term=0.0873 VFE_hidden_term=84.9572 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.07 | lambda_gate=0.302 (raw=0.302) | SG_objective=0.0083 | SG_relMSE=1.0038 SG_cosine=-0.395 mean_log_Pi_g=0.465 | PC_activity_obj=56.1420 (per_unit 5.4826e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.39e-04 tol=2.00e-04 r=1.000 slope=-6.994e-05) | TrainAcc=0.938 TrainLoss=0.2758 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.927 TestLoss=0.2951
[Step    80] CE_loss=0.2981 | VFE_final=-155.4173 (IL_path=0.0103) | VFE_per_dof=-0.0759 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.0873 VFE_hidden_term=84.9572 logdet_Pi_y_sum=4.85 logdet_Pi_x_sum=476.07 | lambda_gate=0.302 | SG_objective=0.0083 | SG_relMSE=1.0038 SG_cosine=-0.395 mean_log_Pi_g=0.465 | PC_activity_obj=56.1420 (per_unit 5.4826e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2951 test_acc=0.9271
[Step   100] CE_loss=0.3212 | VFE_final=-193.6001 (IL_path=0.0088) | VFE_per_dof=-0.0945 Delta_VFE_per_dof=-0.0050 | VFE_pred_term=0.1112 VFE_hidden_term=71.0913 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.27 | lambda_gate=0.321 (raw=0.321) | SG_objective=0.0097 | SG_relMSE=1.0040 SG_cosine=-0.359 mean_log_Pi_g=0.512 | PC_activity_obj=45.0305 (per_unit 4.3975e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.65e-04 tol=2.00e-04 r=1.000 slope=-4.832e-05) | TrainAcc=0.922 TrainLoss=0.3001 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.929 TestLoss=0.2907
[Step   100] CE_loss=0.3212 | VFE_final=-193.6001 (IL_path=0.0088) | VFE_per_dof=-0.0945 Delta_VFE_per_dof=+0.0000 | VFE_pred_term=0.1112 VFE_hidden_term=71.0913 logdet_Pi_y_sum=5.34 logdet_Pi_x_sum=524.27 | lambda_gate=0.321 | SG_objective=0.0097 | SG_relMSE=1.0040 SG_cosine=-0.359 mean_log_Pi_g=0.512 | PC_activity_obj=45.0305 (per_unit 4.3975e-02) | PI_max_steps=3 | PC_steps=3 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) (total_proposals=3) | test_loss=0.2907 test_acc=0.9290
[Step   120] CE_loss=0.2777 | VFE_final=-208.0961 (IL_path=0.0101) | VFE_per_dof=-0.1016 Delta_VFE_per_dof=-0.0001 | VFE_pred_term=0.0918 VFE_hidden_term=80.3484 logdet_Pi_y_sum=5.81 logdet_Pi_x_sum=571.26 | lambda_gate=0.338 (raw=0.338) | SG_objective=0.0089 | SG_relMSE=1.0030 SG_cosine=-0.324 mean_log_Pi_g=0.558 | PC_activity_obj=48.9230 (per_unit 4.7776e-02) | PI_max_steps=3 | PI_est_total=3.0 PI_est_valid=1 (cap_hit=0 delta_last=1.56e-04 tol=2.00e-04 r=1.000 slope=-5.086e-05) | TrainAcc=0.938 TrainLoss=0.2609 (total_proposals=3, oracle_model=0/0, oracle_lp=0/0, metrics=3/3) | TestAcc=0.938 TestLoss=0.2495
