train_step,pc_metric,pc_steps,pc_total,pi_max_steps,pi_steps,test_acc,test_loss,lambda_gate,seed,dt,rollout_tol,rollout_steps,oracle_every,lambda_cap,log_path
20,3.0,3.0,3.0,3.0,,0.8479,0.461,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
40,3.0,3.0,3.0,3.0,,0.8948,0.3447,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
60,3.0,3.0,3.0,3.0,,0.9102,0.3039,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
80,3.0,3.0,3.0,3.0,,0.9298,0.2374,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
100,3.0,3.0,3.0,3.0,,0.9354,0.2106,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
120,3.0,3.0,3.0,3.0,,0.9361,0.2136,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
140,3.0,3.0,3.0,3.0,,0.9407,0.1895,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
160,3.0,3.0,3.0,3.0,,0.9425,0.1864,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
180,3.0,3.0,3.0,3.0,,0.9478,0.1757,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
200,3.0,3.0,3.0,3.0,,0.9498,0.1597,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
220,3.0,3.0,3.0,3.0,,0.9543,0.1485,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
240,3.0,3.0,3.0,3.0,,0.9526,0.1424,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
260,3.0,3.0,3.0,3.0,,0.9638,0.1217,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
280,3.0,3.0,3.0,3.0,,0.9608,0.1276,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
300,3.0,3.0,3.0,3.0,,0.9633,0.1185,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
320,3.0,3.0,3.0,3.0,,0.9598,0.1281,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
340,3.0,3.0,3.0,3.0,,0.9623,0.1205,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
360,3.0,3.0,3.0,3.0,,0.9666,0.1074,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
380,3.0,3.0,3.0,3.0,,0.9676,0.101,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
400,3.0,3.0,3.0,3.0,,0.9646,0.1173,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
420,3.0,3.0,3.0,3.0,,0.9697,0.096,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
440,3.0,3.0,3.0,3.0,,0.9697,0.0973,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
460,3.0,3.0,3.0,3.0,,0.9691,0.0998,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
480,3.0,3.0,3.0,3.0,,0.9692,0.094,0.0,0,0.0036,0.0005,8,1,0.0,pi_plots_out/logs/seed0_lam0.0_dt0.0036_tol0.0005_steps8_oracle1_devgpu.log
